PROJECT_TITLE,NIH_SPENDING_CATS
IGF::OT::IGF RECOMBINANT RABBIT MONOCLONAL ANTIBODIES AS AFFINITY CAPTURES FOR PEPTIDES,Biotechnology; Cancer; 
Matrix Metalloproteinase Driven Lung Inflammation in RSV disease,Clinical Research; Infectious Diseases; Lung; Pediatric; Pneumonia; Pneumonia & Influenza; 
Molecular Pathology and Imaging Core (MPIC),Diagnostic Radiology; Nutrition; 
Spinal Epidural Electrode Array To Facilitate Standing and Stepping After SCI,Assistive Technology; Bioengineering; Clinical Research; Injury (total) Accidents/Adverse Effects; Injury - Trauma - (Head and Spine); Neurodegenerative; Neurosciences; Physical Rehabilitation; Rehabilitation; Spinal Cord Injury; 
Technology Development,Bioengineering; Biotechnology; Clinical Research; Genetics; Human Genome; Nanotechnology; 
Gene Editing of the Beta Globin Gene Using TAL Effector Nucleases and single stranded oligonucleotides,Genetics; Hematology; Rare Diseases; Sickle Cell Disease; 
Modulation of Retroviral Uncoating by Cellular Factors,Genetics; HIV/AIDS; Infectious Diseases; 
SVEU - MAINTENANCE OF NONHUMAN PRIMATES ,HIV/AIDS; Immunization; Infectious Diseases; Prevention; Vaccine Related; Vaccine Related (AIDS); 
Peptide Amphiphiles to Augment Progentitor Cell Therapies,Bioengineering; Biotechnology; Cardiovascular; Heart Disease; Heart Disease - Coronary Heart Disease; Hematology; Nanotechnology; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Stem Cell Research - Nonembryonic - Non-Human; Transplantation; 
Renal Myfibroblast: Origins and Activation,Kidney Disease; 
Lymphatic endothelial cells as inducers of systemic peripheral tolerance,Autoimmune Disease; Genetics; 
RANDOMIZED CONTROLLED TRIAL: VDAART CONTINUATION STUDY - DCC - LEAD,Asthma; Clinical Research; Clinical Trials and Supportive Activities; Complementary and Alternative Medicine; Lung; Nutrition; Pediatric; Prevention; 
Investigating Mechanisms of Fluoride Sensing and Toxicity Mitigation in Bacteria,Dental/Oral and Craniofacial Disease; Genetics; Infectious Diseases; 
Training and Education to Advance Minority Scholars In Science (TEAM-Science),Assistive Technology; Behavioral and Social Science; Bioengineering; Clinical Research; 
Theory and Modeling of Noncovalent Binding,Bioengineering; Infectious Diseases; 
FIX GENE THERAPY AND ROLE OF AAV NAb,Biotechnology; Gene Therapy; Genetics; Orphan Drug; Rare Diseases; 
The role of Leptin in Alzheimer's disease,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Clinical Research; Dementia; Neurodegenerative; Neurosciences; Nutrition; Obesity; Prevention; 
Functional crosstalk between myosin II & cofilin in regulation of neuronal growth,Bioengineering; Neurosciences; 
Functional dissection of the retron St-85 of Salmonella Typhimurium,Biodefense; Clinical Research; Digestive Diseases; Emerging Infectious Diseases; Foodborne Illness; Genetics; Infectious Diseases; 
Anticoagulation Withdrawal in Antiphospholipid Syndrome,Autoimmune Disease; Hematology; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; Rare Diseases; 
"Mouse Model and Protein Expression Core	",Biotechnology; Nutrition; 
Social and Behavioral Sciences Research Core,Aging; Behavioral and Social Science; Cancer; Clinical Research; Drug Abuse (NIDA only); HIV/AIDS; Health Services; Infectious Diseases; Prevention; Substance Abuse; 
HIV Transmission Cluster Analysis to Inform Prevention,Behavioral and Social Science; Clinical Research; HIV/AIDS; Infectious Diseases; Mental Health; Prevention; Sexual and Gender Minorities (SGM/LGBT*); 
Neutralization Mechanisms Of Anti-HIV-1 Monoclonal Antibodies,Biotechnology; HIV/AIDS; Immunization; Prevention; Vaccine Related; Vaccine Related (AIDS); 
Masked priming treatment for anomia,Aging; Aphasia; Brain Disorders; Clinical Research; Neurosciences; Rehabilitation; Stroke; 
Harnessing Genetic Interactions to Uncover HIV-1 Rev Host Factors,Biotechnology; Genetics; HIV/AIDS; Human Genome; Infectious Diseases; 
Enabling Technologies for Human-Machine Hybrid Tissues,Assistive Technology; Bioengineering; Cardiovascular; Heart Disease; Regenerative Medicine; Rehabilitation; Stem Cell Research; Stem Cell Research - Induced Pluripotent Stem Cell; Stem Cell Research - Induced Pluripotent Stem Cell - Human; 
Genome-Wide Gene-Caffeine Interactions on Risk of Skin Basal Cell Carcinoma2,Cancer; Clinical Research; Genetics; Human Genome; Nutrition; Prevention; 
Preclinical Assessment of Medications for Alcohol Abuse,"Alcoholism, Alcohol Use and Health; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Neurosciences; Substance Abuse; "
2/2 Large-Scale Genetic Studies of Schizophrenia in Sweden,Brain Disorders; Clinical Research; Genetics; Human Genome; Mental Health; Schizophrenia; Serious Mental Illness; 
Genome Dynamics in Aging,Aging; Biotechnology; Genetics; Human Genome; 
Pathogenic Mechanisms of CSF3R Mutations in Leukemia,Cancer; Clinical Research; Genetics; Hematology; Human Genome; Rare Diseases; 
Slow Outward Currents and Learning In Aging Hippocampus,Aging; Behavioral and Social Science; Biotechnology; Gene Therapy; Genetics; Neurosciences; 
Neural Prosthesis Using Posterior Parietal Reach Region,Assistive Technology; Bioengineering; Eye Disease and Disorders of Vision; Neurosciences; Rehabilitation; 
Pathophysiologic Mechanisms of Bisphosphonate Related Osteonecrosis of the Jaws,Dental/Oral and Craniofacial Disease; 
Topological methods for uncovering hidden low-dimensional and low-rank structure in biological networks,Neurosciences; 
Mechanistic Examination ,Basic Behavioral and Social Science; Behavioral and Social Science; Biotechnology; Brain Disorders; Depression; Genetics; Mental Health; Neurosciences; 
STRUCTURAL GENOMICS CENTERS FOR INFECTIOUS DISEASES,Biodefense; Biotechnology; Emerging Infectious Diseases; Infectious Diseases; 
Functional genetic variations in splicing regulation,Biotechnology; Genetics; Human Genome; 
Molecular Characterization of Novel Insulin Sensitizers,Biotechnology; Diabetes; Genetics; Obesity; 
Prevention Sciences ,Aging; Behavioral and Social Science; Cancer; Drug Abuse (NIDA only); HIV/AIDS; Infectious Diseases; Pediatric; Pediatric AIDS; Prevention; Substance Abuse; 
Using mixed metal clusters in the reductive synthesis of doped ZnO nanocrystals,Bioengineering; Nanotechnology; 
Modulation of dendritic spiking in vivo,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Neurosciences; 
An Instrument for Direct Measurement of Singlet Oxygen for Studies of Skin Under UVA Irradiation,Bioengineering; Cancer; Climate-Related Exposures and Conditions; Clinical Research; 
Biomarkers of preclinical Alzheimer disease and cognition,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Dementia; Diagnostic Radiology; Mental Health; Neurodegenerative; Neurosciences; 
Community challenges in increasing physical activity in youth with disability,Behavioral and Social Science; Brain Disorders; Cardiovascular; Clinical Research; Intellectual and Developmental Disabilities (IDD); Nutrition; Obesity; Pediatric; Prevention; 
Nitric Oxide as a Modifier of Oxidative Stress,Breast Cancer; Cancer; Digestive Diseases; Prevention; Rare Diseases; 
The Regulation of DNA Replication Kinetics,Genetics; Human Genome; 
Basic predoctoral training in neuroscience,Neurosciences; 
Assessment and Treatment of Iron Disorders.,Clinical Research; Cooley's Anemia; Hematology; Nutrition; Rare Diseases; 
miRNA-mediated regulation of LPS tolerance,Biotechnology; Genetics; Hematology; Human Genome; Infectious Diseases; Septicemia; 
The Role of KCa3.1 in Neuroinflammation in Alzheimer Disease,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Dementia; Genetics; Neurodegenerative; Neurosciences; 
Defining the genetic program of primordial lung progenitors,Biotechnology; Genetics; Lung; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Embryonic - Non-Human; Stem Cell Research - Induced Pluripotent Stem Cell; Stem Cell Research - Induced Pluripotent Stem Cell - Non-Human; 
Application of progenitor niche signals to ex vivo nephrogenesis,Bioengineering; Kidney Disease; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Embryonic - Human; Stem Cell Research - Induced Pluripotent Stem Cell; Stem Cell Research - Induced Pluripotent Stem Cell - Human; Transplantation; 
Ultra-Fast Epigenomic Maps for Monitoring Autoimmunity,Autoimmune Disease; Biotechnology; Genetics; Human Genome; Lupus; 
ANIMAL MODELING,Injury (total) Accidents/Adverse Effects; Injury - Trauma - (Head and Spine); Neurodegenerative; Neurosciences; Spinal Cord Injury; 
Mapping Orofacial Nociceptive Pathways and Alterations Due to Inflammation,Arthritis; Dental/Oral and Craniofacial Disease; Neurosciences; Pain Conditions - Chronic; Pain Research; Temporomandibular Muscle/Joint Disorder (TMJD); 
Project 2: Sleep: Potential Prognostic and Theranostic Marker for Preclinical AD,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Behavioral and Social Science; Brain Disorders; Dementia; Diagnostic Radiology; Neurodegenerative; Neurosciences; Prevention; Sleep Research; 
Oregon Clinical and Translational Research Institute,Clinical Research; HIV/AIDS; 
Crosstalk between membrane traffic proteins and integrin activation,Hematology; 
Administration,Cancer; 
Subversion of MHC class I antigen presentation by viral immunomodulatory proteins,HIV/AIDS; Infectious Diseases; 
Role of the UPR in myc-induced tumorigenesis,Cancer; Genetics; Hematology; Lymphoma; Orphan Drug; Rare Diseases; 
Low Cost Automated Ultrasound for Breast Cancer Detection and Diagnosis,Bioengineering; Breast Cancer; Cancer; Clinical Research; Clinical Trials and Supportive Activities; Diagnostic Radiology; Health Services; Prevention; 
Multimarker Risk Prediction in Cancer Therapy Cardiotoxicity,Cancer; Cardiovascular; Clinical Research; Heart Disease; Prevention; 
PROJECT llI; EXPRESSED CDH CANDIDATE GENES CAN BE PREDICTED THEN FUNCTIONALLY,Biotechnology; Congenital Structural Anomalies; Genetics; Human Genome; Infant Mortality/ (LBW); Lung; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; Stem Cell Research; Stem Cell Research - Induced Pluripotent Stem Cell; Stem Cell Research - Induced Pluripotent Stem Cell - Human; 
The role of the tumor biofilm in determining tissue tropism,Breast Cancer; Cancer; 
Nano Characterization and Nano Fabrication Core,Bioengineering; Biotechnology; Cancer; Nanotechnology; 
Mapping Nonsyndromic Cleft Lip and Palate Genetic Loci,Clinical Research; Congenital Structural Anomalies; Dental/Oral and Craniofacial Disease; Genetics; Human Genome; Pediatric; 
Dissecting The Interplay of GM-CSF and Neutrophils In IgG and IgA Responses,Biotechnology; HIV/AIDS; Immunization; Infectious Diseases; Prevention; Vaccine Related; Vaccine Related (AIDS); 
Active Fine Gauge Spinal Needle with CSF Sensing to Minimize PDPH and Dura Damage,Bioengineering; Clinical Research; Headaches; Neurosciences; Pain Research; 
"Theranostic Pain Nanomedicines: imaging inflammation, reducing pain and need for opioids",Bioengineering; Biotechnology; Brain Disorders; Diagnostic Radiology; Drug Abuse (NIDA only); Nanotechnology; Neurodegenerative; Neurosciences; Pain Conditions - Chronic; Pain Research; Peripheral Neuropathy; Substance Abuse; 
Molecular Mechanisms for DNA Damage Processing by Transcription Machinery,Biotechnology; Genetics; Rare Diseases; 
"Vessel Stiffening, Hypertension and Vascular Extracellular Matrix",Aging; Bioengineering; Cardiovascular; Congenital Structural Anomalies; Heart Disease; Hypertension; Pediatric; Rare Diseases; 
How Does Marriage Get Under the Skin? An Integrative Social and Biological Approa,Aging; Basic Behavioral and Social Science; Behavioral and Social Science; Cardiovascular; 
Nonhuman Primate Model for Eradication Therapy,Genetics; HIV/AIDS; Infectious Diseases; 
Characterizing the ion-pair dynamics and their roles in protein-DNA association,Genetics; 
IND-Enabling Preclinical Development of a New Radiomitigator,Biodefense; 
Maternal alcohol exposure: impact on genetic control of craniofacial phenotype,"Alcoholism, Alcohol Use and Health; Biotechnology; Brain Disorders; Conditions Affecting the Embryonic and Fetal Periods; Congenital Structural Anomalies; Dental/Oral and Craniofacial Disease; Fetal Alcohol Syndrome; Genetics; Human Genome; Intellectual and Developmental Disabilities (IDD); Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; Substance Abuse; "
Quantitative Core,Bioengineering; Brain Cancer; Brain Disorders; Cancer; Neurosciences; Rare Diseases; Regenerative Medicine; 
Speech Perception Impairments in Healthy Normal-Hearing Adults: Neural Mechanisms,Basic Behavioral and Social Science; Behavioral and Social Science; Clinical Research; Neurosciences; 
Multidisciplinary Training in Microbial Pathogenesis,Biodefense; Emerging Infectious Diseases; Infectious Diseases; 
Study and Application of Collagen Mimetic Peptide-Collagen Hybridization,Bioengineering; Biotechnology; Regenerative Medicine; 
Search for New Tumor Endothelial Markers,Biotechnology; Cancer; Digestive Diseases; Genetics; Liver Disease; Regenerative Medicine; 
Feasibility of Combining Family and Cognitive Therapy to Prevent Chronic Anorexia,Anorexia; Behavioral and Social Science; Brain Disorders; Clinical Research; Complementary and Alternative Medicine; Eating Disorders; Mental Health; Mind and Body; Nutrition; Pediatric; Prevention; Rehabilitation; Serious Mental Illness; 
Cultivation and Genetic Manipulation of Free-Living and Pathogenic Leptospires,Biotechnology; Emerging Infectious Diseases; Genetics; Infectious Diseases; Lyme Disease; Vector-Borne Diseases; 
Role of FACT Proteins in Regulating HIV Transcription and Latency,Genetics; HIV/AIDS; Infectious Diseases; 
Hemodynamics of Cerebral Arteriovenous Malformations,Congenital Structural Anomalies; Genetics; Hematology; Neurosciences; Pediatric; Rare Diseases; Stroke; 
